"season","workingday","temp","hum","windspeed","cnt","is_winter"
1,0,0.24,0.75,0,8,1
1,0,0.44,0.82,0.2836,67,1
1,0,0.42,0.88,0.2537,35,1
1,0,0.4,0.71,0.2239,8,1
1,0,0.34,0.57,0.194,65,1
1,0,0.36,0.46,0.3284,53,1
1,1,0.14,0.5,0.2836,154,1
1,1,0.24,0.3,0.2239,157,1
1,1,0.24,0.32,0.1045,157,1
1,1,0.14,0.69,0.1642,179,1
1,1,0.28,0.48,0.2239,212,1
1,1,0.26,0.48,0.194,182,1
1,1,0.2,0.4,0.2985,195,1
1,1,0.24,0.38,0.194,190,1
1,1,0.24,0.38,0.1343,169,1
1,1,0.16,0.59,0,219,1
1,1,0.22,0.51,0.1642,172,1
1,1,0.22,0.51,0.1343,163,1
1,1,0.2,0.51,0.2537,210,1
1,1,0.2,0.37,0,187,1
1,1,0.2,0.4,0.0896,123,1
1,0,0.16,0.93,0.1045,15,1
1,0,0.16,0.37,0.5522,69,1
1,0,0.14,0.39,0.2985,55,1
1,0,0.1,0.49,0.2836,10,1
1,0,0.18,0.37,0.3881,62,1
1,0,0.16,0.4,0.3284,48,1
1,1,0.12,0.5,0.2836,188,1
1,1,0.2,0.4,0.1045,178,1
1,1,0.2,0.4,0.2239,155,1
1,1,0.18,0.51,0.0896,217,1
1,1,0.16,0.86,0.2239,136,1
1,1,0.16,0.93,0.1045,95,1
1,1,0.16,0.59,0.1642,128,1
1,1,0.2,0.47,0.3582,139,1
1,1,0.2,0.47,0.5224,137,1
1,1,0.14,0.5,0.194,202,1
1,1,0.2,0.4,0.2836,162,1
1,1,0.2,0.4,0.3284,144,1
1,1,0.12,0.68,0,158,1
1,1,0.22,0.41,0.1642,159,1
1,1,0.2,0.47,0,139,1
1,0,0.14,0.63,0.1343,23,1
1,0,0.32,0.36,0.2836,83,1
1,0,0.3,0.45,0.2537,84,1
1,0,0.22,0.55,0.2836,18,1
1,0,0.22,0.37,0.2537,105,1
1,0,0.2,0.4,0.1642,67,1
1,0,0.16,0.47,0.2239,33,1
1,0,0.2,0.51,0.194,71,1
1,0,0.18,0.55,0.2537,92,1
1,1,0.22,0.82,0.194,125,1
1,1,0.22,0.8,0.1642,133,1
1,1,0.24,0.93,0.1045,197,1
1,1,0.36,0.57,0.3284,197,1
1,1,0.34,0.61,0.2836,161,1
1,1,0.22,0.55,0.2836,249,1
1,1,0.3,0.49,0.1045,215,1
1,1,0.26,0.56,0.194,185,1
1,1,0.2,0.47,0.3284,217,1
1,1,0.14,0.28,0.3582,161,1
1,1,0.12,0.3,0.2537,120,1
1,0,0.02,0.44,0.3284,27,1
1,0,0.12,0.28,0,67,1
1,0,0.08,0.35,0.194,54,1
1,0,0.06,0.62,0.1642,19,1
1,0,0.14,0.26,0.3881,55,1
1,0,0.12,0.3,0.2537,49,1
1,1,0.04,0.49,0,177,1
1,1,0.14,0.5,0.2537,184,1
1,1,0.14,0.59,0.194,153,1
1,1,0.16,0.74,0.1343,238,1
1,1,0.3,0.45,0,222,1
1,1,0.3,0.49,0.0896,225,1
1,1,0.22,0.87,0.2985,72,1
1,1,0.2,0.93,0.3582,26,1
1,1,0.22,0.55,0.1045,84,1
1,1,0.2,0.69,0.0896,104,1
1,1,0.16,0.86,0.0896,157,1
1,1,0.24,0.75,0.1343,149,1
1,1,0.24,0.75,0.194,109,1
1,0,0.18,0.55,0.1642,34,1
1,0,0.24,0.6,0,91,1
1,0,0.22,0.69,0.1343,68,1
1,0,0.14,0.86,0,12,1
1,0,0.3,0.56,0.194,77,1
1,0,0.26,0.65,0.1642,65,1
1,1,0.16,0.59,0.2836,185,1
1,1,0.16,0.59,0.194,161,1
1,1,0.16,0.55,0.2239,156,1
1,1,0.16,0.93,0,135,1
1,1,0.24,0.75,0,176,1
1,1,0.24,0.81,0.1045,168,1
1,1,0.22,0.93,0.2239,155,1
1,1,0.36,0.53,0.5224,190,1
1,1,0.34,0.42,0.5522,182,1
1,1,0.14,0.5,0.3582,188,1
1,1,0.2,0.4,0.194,175,1
1,1,0.2,0.4,0.1642,147,1
1,1,0.14,0.74,0.1343,220,1
1,1,0.26,0.56,0.1343,205,1
1,1,0.24,0.6,0.1045,155,1
1,0,0.2,1,0.0896,10,1
1,0,0.24,1,0.2836,78,1
1,0,0.28,0.93,0.4478,83,1
1,0,0.24,0.65,0.1045,23,1
1,0,0.34,0.46,0,121,1
1,0,0.3,0.56,0.1642,78,1
1,1,0.16,1,0,230,1
1,1,0.32,0.7,0.1642,216,1
1,1,0.34,0.66,0.1343,175,1
1,1,0.24,0.56,0.4925,243,1
1,1,0.22,0.32,0.5821,176,1
1,1,0.2,0.32,0.3881,152,1
1,1,0.1,0.42,0,199,1
1,1,0.2,0.34,0.2537,166,1
1,1,0.18,0.47,0.2985,170,1
1,1,0.1,0.49,0.3284,178,1
1,1,0.18,0.26,0.194,165,1
1,1,0.16,0.28,0.1343,160,1
1,1,0.1,0.74,0.1642,216,1
1,1,0.3,0.24,0,211,1
1,1,0.28,0.28,0,174,1
1,0,0.14,0.86,0.1343,30,1
1,0,0.32,0.31,0.5224,137,1
1,0,0.28,0.38,0.3284,64,1
1,0,0.22,0.64,0.194,12,1
1,0,0.42,0.28,0.3284,125,1
1,0,0.4,0.32,0.2985,95,1
1,1,0.38,0.4,0.4627,256,1
1,1,0.46,0.33,0.6119,243,1
1,1,0.4,0.4,0.6119,205,1
1,1,0.2,0.32,0.3582,223,1
1,1,0.32,0.22,0.2239,206,1
1,1,0.3,0.22,0.1343,212,1
1,1,0.22,0.55,0.1642,230,1
1,1,0.46,0.28,0.2836,255,1
1,1,0.4,0.4,0.2239,222,1
1,1,0.32,0.57,0.0896,285,1
1,1,0.58,0.32,0.2985,274,1
1,1,0.54,0.42,0.2836,222,1
1,1,0.42,0.77,0.194,272,1
1,1,0.66,0.34,0.3582,327,1
1,1,0.64,0.33,0.3284,224,1
1,0,0.38,0.17,0.5821,45,1
1,0,0.42,0.19,0.6119,127,1
1,0,0.36,0.25,0.4478,88,1
1,0,0.2,0.51,0.1045,24,1
1,0,0.34,0.33,0.1642,146,1
1,0,0.34,0.36,0.1343,101,1
1,0,0.32,0.57,0.2985,63,1
1,0,0.28,0.75,0.3881,80,1
1,0,0.24,0.87,0.3582,66,1
1,1,0.12,0.8,0.2537,114,1
1,1,0.22,0.51,0.2239,196,1
1,1,0.22,0.47,0.1343,167,1
1,1,0.14,0.54,0.1642,235,1
1,1,0.34,0.25,0.0896,222,1
1,1,0.32,0.26,0.0896,209,1
1,1,0.24,0.7,0.2239,252,1
1,1,0.36,0.66,0.194,177,1
1,1,0.34,0.87,0.3284,137,1
1,1,0.36,0.93,0.1343,73,1
1,1,0.32,0.49,0.7463,189,1
1,1,0.32,0.49,0.4925,157,1
1,0,0.24,0.6,0,57,1
1,0,0.36,0.43,0.2239,183,1
1,0,0.34,0.46,0.194,137,1
1,0,0.26,0.87,0,35,1
1,0,0.42,0.54,0.194,187,1
1,0,0.4,0.54,0.194,127,1
1,1,0.34,0.93,0.2985,255,1
1,1,0.4,1,0.2985,79,1
1,1,0.46,0.94,0.194,131,1
1,1,0.2,0.59,0.3881,214,1
1,1,0.34,0.34,0.0896,242,1
1,1,0.32,0.39,0.194,224,1
1,1,0.24,0.65,0.2836,256,1
1,1,0.5,0.23,0.2836,268,1
1,1,0.46,0.23,0.4925,201,1
1,1,0.14,0.39,0.2985,220,1
1,1,0.26,0.22,0,202,1
1,1,0.24,0.35,0.3284,167,1
1,1,0.18,0.74,0.1343,228,1
1,1,0.36,0.5,0.2537,228,1
1,1,0.34,0.53,0.2985,187,1
1,0,0.3,1,0.2985,45,1
1,0,0.48,0.59,0.3582,164,1
1,0,0.48,0.59,0.3284,152,1
1,0,0.4,1,0.2985,9,1
1,0,0.34,1,0.2985,25,1
1,0,0.32,1,0.3582,23,1
1,1,0.2,0.75,0.3881,211,1
1,1,0.34,0.29,0.3582,233,1
1,1,0.32,0.31,0.2239,233,1
1,1,0.22,0.55,0.194,257,1
1,1,0.36,0.27,0.2239,248,1
1,1,0.34,0.27,0.194,235,1
1,1,0.24,0.87,0.1343,249,1
1,1,0.34,0.76,0.2985,194,1
1,1,0.34,0.76,0.2537,188,1
1,1,0.38,0,0.2836,44,1
1,1,0.44,0,0.3881,111,1
1,1,0.44,0,0.3582,82,1
1,1,0.28,0.7,0.2537,259,1
1,1,0.34,0.49,0.2239,223,1
1,1,0.32,0.49,0.3284,153,1
1,0,0.26,0.65,0.1642,53,1
1,0,0.46,0.44,0.3284,213,1
1,0,0.42,0.54,0.1642,145,1
1,0,0.4,0.5,0.2985,34,1
1,0,0.44,0.41,0.3582,241,1
1,0,0.4,0.43,0.3582,147,1
1,1,0.3,0.56,0.1343,241,1
1,1,0.38,0.4,0.194,271,1
1,1,0.36,0.4,0.1045,235,1
1,1,0.26,0.7,0.0896,282,1
1,1,0.36,0.62,0.194,217,1
1,1,0.36,0.62,0.2985,225,1
1,1,0.32,0.93,0,253,1
1,1,0.44,0.54,0.2985,253,1
1,1,0.44,0.54,0.2239,237,1
1,1,0.36,0.66,0.1343,299,1
1,1,0.5,0.42,0.194,313,1
1,1,0.46,0.59,0.1642,310,1
1,1,0.42,0.67,0.2537,280,1
1,1,0.7,0.37,0.3284,332,1
1,1,0.68,0.39,0.1642,331,1
1,0,0.42,0.47,0.4925,48,1
1,0,0.48,0.31,0.3284,278,1
1,0,0.46,0.31,0.3284,217,1
1,0,0.28,0.56,0.1642,37,1
1,0,0.4,0.35,0.2836,226,1
1,0,0.38,0.4,0.3582,156,1
2,1,0.3,0.87,0.4179,98,0
2,1,0.54,0.64,0.2537,272,0
2,1,0.52,0.72,0.2239,276,0
2,1,0.4,0.58,0.2985,336,0
2,1,0.5,0.42,0.1045,307,0
2,1,0.48,0.44,0.0896,312,0
2,1,0.32,0.87,0.194,261,0
2,1,0.4,0.76,0.2239,273,0
2,1,0.38,0.82,0.2537,238,0
2,1,0.26,1,0.2985,124,0
2,1,0.3,0.7,0.2239,233,0
2,1,0.3,0.61,0.2985,214,0
2,1,0.22,0.51,0.2836,237,0
2,1,0.32,0.36,0.3582,225,0
2,1,0.3,0.39,0.2537,198,0
2,0,0.22,0.44,0.1343,66,0
2,0,0.32,0.24,0.2239,203,0
2,0,0.32,0.21,0.1642,153,0
2,0,0.2,0.69,0.2239,14,0
2,0,0.32,0.31,0.2537,159,0
2,0,0.3,0.33,0.194,137,0
2,1,0.2,0.34,0.2239,254,0
2,1,0.34,0.23,0.2985,252,0
2,1,0.32,0.21,0.2836,241,0
2,1,0.24,0.35,0.3582,287,0
2,1,0.4,0.2,0.1343,299,0
2,1,0.36,0.21,0.0896,294,0
2,1,0.32,0.49,0.1642,263,0
2,1,0.26,0.93,0.1045,116,0
2,1,0.26,0.93,0.2239,85,0
2,1,0.24,1,0.2537,192,0
2,1,0.3,0.87,0.2537,168,0
2,1,0.3,0.87,0.1343,177,0
2,1,0.26,0.87,0.2537,206,0
2,1,0.34,0.46,0.3284,281,0
2,1,0.34,0.46,0.3284,241,0
2,0,0.3,0.7,0.1045,55,0
2,0,0.38,0.54,0.3582,184,0
2,0,0.38,0.54,0.194,179,0
2,0,0.34,0.57,0.1642,62,0
2,0,0.46,0.28,0.1343,274,0
2,0,0.46,0.31,0,172,0
2,1,0.46,0.55,0.2985,339,0
2,1,0.74,0.23,0.6119,366,0
2,1,0.72,0.23,0.4925,386,0
2,1,0.38,0.87,0.5821,157,0
2,1,0.42,0.38,0.4179,273,0
2,1,0.38,0.4,0.4925,267,0
2,1,0.32,0.61,0.2239,325,0
2,1,0.52,0.32,0.4478,356,0
2,1,0.52,0.29,0.3582,325,0
2,1,0.36,0.76,0.194,314,0
2,1,0.52,0.52,0.2836,343,0
2,1,0.48,0.55,0.2537,333,0
2,1,0.34,0.87,0.1642,221,0
2,1,0.32,0.93,0.2537,148,0
2,1,0.32,0.93,0.2537,62,0
2,0,0.32,0.93,0.1642,54,0
2,0,0.38,0.82,0.0896,257,0
2,0,0.38,0.82,0.1045,177,0
2,0,0.38,0.94,0.0896,55,0
2,0,0.52,0.72,0.194,236,0
2,0,0.5,0.77,0.194,240,0
2,1,0.52,0.88,0.2836,314,0
2,1,0.74,0.48,0.5224,452,0
2,1,0.72,0.51,0.3881,383,0
2,1,0.48,0.88,0.3881,226,0
2,1,0.44,0.77,0.2239,291,0
2,1,0.44,0.77,0.2239,224,0
2,1,0.38,0.94,0.194,164,0
2,1,0.46,0.67,0.2985,309,0
2,1,0.44,0.62,0.3881,321,0
2,1,0.42,0.58,0.1642,337,0
2,1,0.6,0.28,0,388,0
2,1,0.56,0.3,0,337,0
2,0,0.44,0.62,0.2985,300,0
2,0,0.5,0.63,0.3881,331,0
2,0,0.46,0.67,0.3881,263,0
2,0,0.4,0.87,0.3582,45,0
2,0,0.5,0.88,0.5821,15,0
2,0,0.5,0.94,0.3881,38,0
2,0,0.38,0.46,0.3881,43,0
2,0,0.56,0.3,0.4478,306,0
2,0,0.56,0.3,0.3881,277,0
2,1,0.46,0.63,0,297,0
2,1,0.58,0.49,0.2836,428,0
2,1,0.64,0.31,0.3582,362,0
2,1,0.5,0.68,0.1343,351,0
2,1,0.56,0.6,0.1045,411,0
2,1,0.54,0.64,0.1343,421,0
2,1,0.62,0.69,0.4627,396,0
2,1,0.74,0.37,0.4179,432,0
2,1,0.74,0.3,0.3582,441,0
2,1,0.4,0.5,0.4925,365,0
2,1,0.5,0.29,0.1642,481,0
2,1,0.5,0.25,0.2836,452,0
2,1,0.34,0.53,0.2537,346,0
2,1,0.32,0.93,0.2239,69,0
2,1,0.32,0.93,0.2239,51,0
2,0,0.36,1,0.2537,47,0
2,0,0.6,0.73,0.3284,383,0
2,0,0.58,0.78,0.194,376,0
2,0,0.52,0.94,0.2239,80,0
2,0,0.66,0.65,0.2985,331,0
2,0,0.64,0.69,0.1642,270,0
2,1,0.56,0.88,0.1045,353,0
2,1,0.7,0.54,0.2985,521,0
2,1,0.68,0.57,0.3582,499,0
2,1,0.58,0.83,0.2985,449,0
2,1,0.68,0.61,0.3582,521,0
2,1,0.68,0.65,0.4478,528,0
2,1,0.58,0.88,0.3284,444,0
2,1,0.66,0.83,0.3881,521,0
2,1,0.66,0.83,0.3881,412,0
2,1,0.66,0.78,0.4478,398,0
2,1,0.64,0.47,0.3582,455,0
2,1,0.64,0.47,0.3582,530,0
2,1,0.54,0.39,0.2985,421,0
2,1,0.52,0.45,0.3881,508,0
2,1,0.52,0.48,0.3582,439,0
2,0,0.4,0.54,0.2985,91,0
2,0,0.56,0.43,0.1343,407,0
2,0,0.54,0.43,0.1343,371,0
2,0,0.44,0.77,0.1343,59,0
2,0,0.48,0.82,0.2537,196,0
2,0,0.46,0.82,0.0896,159,0
2,1,0.48,0.77,0.2239,371,0
2,1,0.66,0.65,0.194,537,0
2,1,0.64,0.65,0.194,518,0
2,1,0.56,0.83,0.2836,459,0
2,1,0.7,0.54,0.4627,517,0
2,1,0.7,0.48,0.4179,544,0
2,1,0.34,0.93,0.3881,79,0
2,1,0.4,0.71,0.2537,410,0
2,1,0.42,0.67,0.2537,396,0
2,1,0.42,0.5,0.2537,440,0
2,1,0.56,0.26,0.3881,533,0
2,1,0.56,0.26,0.2836,520,0
2,1,0.42,0.77,0.2537,450,0
2,1,0.58,0.4,0.3582,553,0
2,1,0.54,0.52,0.3582,470,0
2,0,0.52,0.52,0.194,115,0
2,0,0.58,0.4,0.2239,354,0
2,0,0.58,0.37,0.1642,289,0
2,0,0.52,0.63,0.1343,86,0
2,0,0.58,0.49,0.2836,351,0
2,0,0.58,0.49,0,268,0
2,1,0.52,0.55,0.2239,374,0
2,1,0.62,0.38,0.2537,598,0
2,1,0.62,0.38,0.2985,524,0
2,1,0.5,0.51,0.1045,425,0
2,1,0.64,0.33,0,611,0
2,1,0.64,0.29,0.1343,550,0
2,1,0.48,0.77,0.2537,442,0
2,1,0.64,0.47,0.1045,259,0
2,1,0.62,0.5,0.2985,274,0
2,1,0.48,0.82,0.194,421,0
2,1,0.64,0.57,0.194,594,0
2,1,0.62,0.69,0.2239,527,0
2,1,0.5,0.88,0.194,387,0
2,1,0.52,0.88,0.1642,491,0
2,1,0.52,0.88,0.1642,398,0
2,0,0.5,0.94,0,88,0
2,0,0.56,0.88,0.194,272,0
2,0,0.56,0.88,0.2239,304,0
2,0,0.54,0.94,0.1343,70,0
2,0,0.56,0.78,0.3582,392,0
2,0,0.56,0.78,0.2537,237,0
2,1,0.56,0.73,0.2985,394,0
2,1,0.58,0.88,0.2239,274,0
2,1,0.58,0.83,0.194,453,0
2,1,0.52,0.94,0.2985,347,0
2,1,0.62,0.65,0.4179,604,0
2,1,0.6,0.69,0.2985,480,0
2,1,0.56,0.88,0.2836,453,0
2,1,0.6,0.69,0.1343,565,0
2,1,0.6,0.73,0.2239,489,0
2,1,0.52,0.88,0,487,0
2,1,0.56,0.78,0.1642,547,0
2,1,0.6,0.55,0.1642,513,0
2,1,0.54,0.68,0,517,0
2,1,0.62,0.53,0,554,0
2,1,0.6,0.56,0.1642,473,0
2,0,0.56,0.68,0.2836,126,0
2,0,0.72,0.42,0.1642,444,0
2,0,0.7,0.45,0.1642,444,0
2,0,0.6,0.73,0.0896,94,0
2,0,0.7,0.58,0.2537,306,0
2,0,0.66,0.61,0.2239,358,0
2,1,0.6,0.88,0.194,409,0
2,1,0.72,0.7,0.3881,429,0
2,1,0.7,0.74,0.2836,453,0
2,1,0.62,0.83,0.2239,434,0
2,1,0.7,0.61,0.1045,548,0
2,1,0.7,0.7,0.194,564,0
2,1,0.64,0.69,0.2239,531,0
2,1,0.74,0.51,0.2239,601,0
2,1,0.72,0.58,0.2239,517,0
2,1,0.66,0.83,0.1642,489,0
2,1,0.8,0.46,0.2836,494,0
2,1,0.8,0.46,0.3284,478,0
2,1,0.66,0.74,0.2836,418,0
2,1,0.74,0.58,0.3881,491,0
2,1,0.72,0.62,0.2985,399,0
2,0,0.62,0.78,0.194,102,0
2,0,0.74,0.55,0.2985,341,0
2,0,0.72,0.62,0.2537,385,0
2,0,0.62,0.88,0.2239,96,0
2,0,0.74,0.7,0.2836,383,0
2,0,0.72,0.74,0.2836,328,0
2,0,0.66,0.89,0.1045,94,0
2,0,0.86,0.41,0.2239,304,0
2,0,0.86,0.41,0.1642,249,0
2,1,0.78,0.59,0.1343,406,0
2,1,0.84,0.53,0.2239,495,0
2,1,0.84,0.53,0.194,417,0
2,1,0.72,0.79,0.194,454,0
2,1,0.86,0.47,0.2985,486,0
2,1,0.82,0.56,0.3881,309,0
2,1,0.7,0.32,0.2985,467,0
2,1,0.76,0.2,0.5224,572,0
2,1,0.74,0.22,0.3881,525,0
2,1,0.56,0.43,0.3284,502,0
2,1,0.72,0.25,0.2836,558,0
2,1,0.7,0.24,0.2985,564,0
2,0,0.6,0.46,0.0896,125,0
2,0,0.72,0.34,0.2537,344,0
2,0,0.74,0.3,0.1642,341,0
2,0,0.6,0.73,0.2537,98,0
2,0,0.74,0.51,0,390,0
2,0,0.7,0.58,0.1045,363,0
2,1,0.64,0.73,0.0896,438,0
2,1,0.78,0.33,0.2836,579,0
2,1,0.76,0.31,0.1343,556,0
2,1,0.68,0.61,0.1343,477,0
2,1,0.8,0.43,0.2537,539,0
2,1,0.78,0.46,0.2836,551,0
2,1,0.76,0.58,0.1642,481,0
2,1,0.92,0.35,0.2239,506,0
2,1,0.9,0.37,0.2239,459,0
2,1,0.76,0.7,0.1045,432,0
2,1,0.9,0.37,0.2537,409,0
2,1,0.88,0.39,0.2836,466,0
2,1,0.74,0.58,0.1343,452,0
2,1,0.82,0.52,0.2239,517,0
2,1,0.8,0.59,0.2239,463,0
2,0,0.74,0.58,0.194,143,0
2,0,0.74,0.58,0.1642,337,0
2,0,0.72,0.62,0.1343,286,0
2,0,0.7,0.74,0,92,0
2,0,0.68,0.83,0.2836,252,0
2,0,0.7,0.74,0.1642,256,0
2,1,0.58,0.49,0.4478,476,0
2,1,0.7,0.39,0.3284,601,0
2,1,0.7,0.37,0.3582,586,0
2,1,0.58,0.49,0.3881,486,0
2,1,0.64,0.5,0.2836,569,0
2,1,0.62,0.51,0.3284,538,0
2,1,0.58,0.53,0.1343,498,0
2,1,0.74,0.28,0.1045,638,0
2,1,0.72,0.32,0.1343,607,0
2,1,0.6,0.69,0.1343,388,0
2,1,0.64,0.78,0.1045,272,0
2,1,0.64,0.83,0.2239,325,0
2,1,0.6,0.83,0,454,0
2,1,0.76,0.4,0.194,552,0
2,1,0.76,0.4,0.194,450,0
2,0,0.66,0.78,0.0896,131,0
2,0,0.76,0.48,0.1642,449,0
2,0,0.74,0.55,0.194,381,0
2,0,0.68,0.74,0.1045,84,0
2,0,0.74,0.51,0,397,0
2,0,0.74,0.58,0.0896,296,0
2,1,0.56,0.83,0.194,221,0
2,1,0.7,0.54,0,565,0
2,1,0.7,0.61,0.2537,538,0
3,1,0.62,0.88,0.1045,401,0
3,1,0.78,0.66,0.2239,572,0
3,1,0.76,0.7,0.2537,536,0
3,1,0.72,0.74,0.1045,423,0
3,1,0.8,0.55,0.3881,529,0
3,1,0.8,0.59,0.2537,513,0
3,1,0.74,0.7,0.194,432,0
3,1,0.72,0.7,0.3582,569,0
3,1,0.72,0.7,0.4179,540,0
3,1,0.7,0.74,0.2239,466,0
3,1,0.76,0.37,0.2537,557,0
3,1,0.76,0.37,0.2985,452,0
3,0,0.7,0.48,0.2537,112,0
3,0,0.74,0.42,0.2239,399,0
3,0,0.72,0.45,0.2537,307,0
3,0,0.64,0.61,0.194,107,0
3,0,0.72,0.42,0.1642,421,0
3,0,0.72,0.45,0.2537,382,0
3,1,0.66,0.74,0.194,447,0
3,1,0.74,0.55,0.1343,604,0
3,1,0.74,0.51,0,591,0
3,1,0.7,0.79,0.1642,456,0
3,1,0.82,0.56,0.2836,579,0
3,1,0.8,0.55,0.2985,504,0
3,1,0.7,0.48,0.2836,540,0
3,1,0.82,0.26,0.4179,570,0
3,1,0.8,0.29,0.2985,588,0
3,1,0.68,0.47,0.2239,555,0
3,1,0.78,0.27,0.3582,594,0
3,1,0.76,0.29,0.2537,586,0
3,1,0.7,0.42,0.1642,492,0
3,1,0.82,0.21,0.194,461,0
